wallix_action,action,change_type,vendor_action_description
add,created,configuration,Object created in the Bastion configuration
create,created,configuration,Object created in the Bastion configuration
edit,modified,configuration,Object modified in the Bastion configuration
update,modified,configuration,Object modified in the Bastion configuration
delete,deleted,configuration,Object deleted from the Bastion configuration
remove,deleted,configuration,Object deleted from the Bastion configuration
list,read,audit,Object list consulted
view,read,audit,Object consulted
download,read,audit,Object exported or downloaded
backup,modified,filesystem,Bastion configuration backup created
restore,modified,filesystem,Bastion configuration restored from backup
checkout,read,account,Vault credential checked out
checkin,modified,account,Vault credential checked in
approve,modified,approval,Approval request answered
reject,modified,approval,Approval request rejected
terminate,modified,session,Session terminated by an administrator
authentify,read,authentication,Authentication attempt
