wallix_object_type,object_category,wallix_object_domain
User,user,identity
UserAuth,user,identity
Usergroup,group,identity
LdapMapping,group,identity
Ldapdomain,object,identity
Localdomain,object,identity
Globaldomain,object,identity
X509Parameters,object,identity
Profile,group,identity
Account,object,credential
CredChgInfo,object,credential
CredChgPolicy,object,credential
CheckoutPolicy,object,credential
Vault,object,credential
Device,object,asset
Targetgroup,group,asset
Service,object,asset
application,object,asset
apppath,object,asset
cluster,object,asset
Authorization,object,authorization
ConnectionPolicy,object,authorization
Restriction,object,authorization
Period,object,authorization
TimeFrame,object,authorization
Approval,object,approval
answer,object,approval
accountactivity,object,audit
sessionlog,object,audit
Backup/Restore,file,system
apikey,object,system
Notification,object,system
