wallix_service_key,app,transport,dest_port,protocol_family
SSH,ssh,tcp,22,shell
ssh,ssh,tcp,22,shell
SSH_SHELL_SESSION,ssh,tcp,22,shell
SSH_REMOTE_COMMAND,ssh,tcp,22,shell
SSH_X11_SESSION,ssh,tcp,22,shell
SSH_SCP_UP,scp,tcp,22,filetransfer
SSH_SCP_DOWN,scp,tcp,22,filetransfer
SFTP,sftp,tcp,22,filetransfer
SFTP_SESSION,sftp,tcp,22,filetransfer
SCP,scp,tcp,22,filetransfer
RDP,rdp,tcp,3389,desktop
rdp,rdp,tcp,3389,desktop
VNC,vnc,tcp,5900,desktop
vnc,vnc,tcp,5900,desktop
TELNET,telnet,tcp,23,shell
telnet,telnet,tcp,23,shell
RLOGIN,rlogin,tcp,513,shell
rlogin,rlogin,tcp,513,shell
