EventID,Description,SettingType,SettingName
2003,A Windows Firewall setting in the profile has changed.,1,Enable Windows Defender Firewall
2003,A Windows Firewall setting in the profile has changed.,2,Current Profile
2003,A Windows Firewall setting in the profile has changed.,3,Windows Defender Firewall Shielded Mode
2003,A Windows Firewall setting in the profile has changed.,5,Log Dropped Packets
2003,A Windows Firewall setting in the profile has changed.,6,Log Successful Connections
2003,A Windows Firewall setting in the profile has changed.,8,Maximum Log File Size
2003,A Windows Firewall setting in the profile has changed.,9,Log File Path
2003,A Windows Firewall setting in the profile has changed.,16,Default Outbound Action
2003,A Windows Firewall setting in the profile has changed.,17,Default Inbound Action
2082,A Windows Defender Firewall setting in a profile has changed.,1,Enable Windows Defender Firewall
2082,A Windows Defender Firewall setting in a profile has changed.,2,Current Profile
2082,A Windows Defender Firewall setting in a profile has changed.,3,Windows Defender Firewall Shielded Mode
2082,A Windows Defender Firewall setting in a profile has changed.,5,Log Dropped Packets
2082,A Windows Defender Firewall setting in a profile has changed.,6,Log Successful Connections
2082,A Windows Defender Firewall setting in a profile has changed.,8,Maximum Log File Size
2082,A Windows Defender Firewall setting in a profile has changed.,9,Log File Path
2082,A Windows Defender Firewall setting in a profile has changed.,16,Default Outbound Action
2082,A Windows Defender Firewall setting in a profile has changed.,17,Default Inbound Action
2083,A Windows Defender Firewall setting has changed,1,Enable Windows Defender Firewall
2083,A Windows Defender Firewall setting has changed,2,Current Profile
2083,A Windows Defender Firewall setting has changed,3,Windows Defender Firewall Shielded Mode
2083,A Windows Defender Firewall setting has changed,5,Log Dropped Packets
2083,A Windows Defender Firewall setting has changed,6,Log Successful Connections
2083,A Windows Defender Firewall setting has changed,8,Maximum Log File Size
2083,A Windows Defender Firewall setting has changed,9,Log File Path
2083,A Windows Defender Firewall setting has changed,16,Default Outbound Action
2083,A Windows Defender Firewall setting has changed,17,Default Inbound Action
2004,A rule has been added to the Windows Firewall exception list.,,
2005,A rule has been modified in the Windows Firewall exception list.,,
2006,A rule has been deleted from the Windows Firewall exception list.,,
2007,The Windows Firewall service has started.,,
2008,The Windows Firewall service has stopped.,,
2010,The network profile has changed on an interface.,,
2011,The firewall has blocked a connection.,,
2012,The firewall has allowed a connection.,,
2013,The firewall has been reset to default settings.,,
2052,A rule has been deleted in the Windows Defender Firewall exception list.,,
2084,Added a Duplicated Rule,,
2097,A rule has been added to the Windows Defender Firewall exception list.,,
2099,A rule has been modified in the Windows Defender Firewall exception list.,,
4950,A Windows Firewall setting has changed.,,
5031,The Windows Firewall service blocked an application from accepting incoming connections on the network.,,
