ip_range,network,service
::1/128,Private,Localhost
fe80::/10,Private,IPv6 link-local
127.0.0.1/32,Private,Localhost
224.0.0.0/8,Multicast,Multicast
239.0.0.0/8,Multicast,Multicast
240.0.0.0/8,Future Use,Future Use
255.0.0.0/8,Future Use,Future Use
FF00::/8,Multicast,Multicast
4.145.74.52/30,,ActionGroup
4.149.254.68/30,,ActionGroup
4.150.239.212/30,,ActionGroup
4.151.103.92/30,,ActionGroup
4.171.31.152/30,,ActionGroup
4.190.136.180/30,,ActionGroup
4.200.251.84/30,,ActionGroup
4.202.253.100/30,,ActionGroup
4.206.229.96/30,,ActionGroup
4.207.242.64/30,,ActionGroup
4.216.204.200/30,,ActionGroup
4.218.236.160/30,,ActionGroup
4.219.249.220/30,,ActionGroup
4.220.138.104/30,,ActionGroup
4.232.48.104/30,,ActionGroup
4.232.106.88/30,,ActionGroup
4.240.148.92/30,,ActionGroup
4.243.28.116/30,,ActionGroup
4.248.83.192/30,,ActionGroup
9.160.80.24/30,,ActionGroup
9.205.75.32/30,,ActionGroup
13.66.143.220/30,,ActionGroup
13.67.10.124/30,,ActionGroup
13.69.109.132/30,,ActionGroup
13.71.199.112/30,,ActionGroup
13.77.53.216/30,,ActionGroup
13.78.109.156/30,,ActionGroup
13.86.221.220/30,,ActionGroup
13.106.38.142/32,,ActionGroup
13.106.38.148/32,,ActionGroup
13.106.54.3/32,,ActionGroup
13.106.54.19/32,,ActionGroup
13.106.57.181/32,,ActionGroup
13.106.57.196/31,,ActionGroup
20.7.239.202/32,,ActionGroup
20.10.122.64/32,,ActionGroup
20.17.63.212/30,,ActionGroup
20.17.66.88/30,,ActionGroup
20.17.124.64/30,,ActionGroup
20.17.130.24/30,,ActionGroup
20.21.42.88/30,,ActionGroup
20.38.133.4/30,,ActionGroup
20.38.149.132/30,,ActionGroup
20.42.64.36/30,,ActionGroup
20.43.121.124/30,,ActionGroup
20.44.17.220/30,,ActionGroup
20.45.123.236/30,,ActionGroup
20.47.194.50/32,,ActionGroup
20.47.194.102/32,,ActionGroup
20.52.95.254/31,,ActionGroup
20.52.214.122/32,,ActionGroup
20.52.214.191/32,,ActionGroup
20.53.1.68/30,,ActionGroup
20.53.62.100/31,,ActionGroup
20.69.8.102/31,,ActionGroup
20.72.27.152/30,,ActionGroup
20.85.194.70/32,,ActionGroup
20.85.194.220/32,,ActionGroup
20.88.72.40/30,,ActionGroup
20.90.38.38/31,,ActionGroup
20.91.100.232/30,,ActionGroup
20.92.5.114/31,,ActionGroup
20.99.31.224/30,,ActionGroup
20.105.215.20/31,,ActionGroup
20.111.76.188/30,,ActionGroup
20.116.43.108/31,,ActionGroup
20.117.193.34/31,,ActionGroup
20.118.78.36/31,,ActionGroup
20.119.28.220/31,,ActionGroup
20.125.4.168/31,,ActionGroup
20.125.199.59/32,,ActionGroup
20.135.70.51/32,,ActionGroup
20.135.74.3/32,,ActionGroup
20.150.172.228/30,,ActionGroup
20.164.158.200/30,,ActionGroup
20.167.131.224/30,,ActionGroup
20.168.188.36/30,,ActionGroup
20.170.175.8/30,,ActionGroup
20.192.238.124/30,,ActionGroup
20.193.96.28/30,,ActionGroup
20.193.202.4/30,,ActionGroup
20.195.87.54/31,,ActionGroup
20.199.201.66/31,,ActionGroup
20.199.207.184/30,,ActionGroup
20.203.88.62/31,,ActionGroup
20.203.93.200/30,,ActionGroup
20.204.192.216/31,,ActionGroup
20.204.199.124/30,,ActionGroup
20.207.175.176/30,,ActionGroup
20.208.157.48/30,,ActionGroup
20.210.69.140/31,,ActionGroup
20.213.228.120/30,,ActionGroup
20.215.74.56/30,,ActionGroup
20.215.154.88/30,,ActionGroup
20.217.8.56/30,,ActionGroup
20.217.58.88/30,,ActionGroup
20.221.192.80/32,,ActionGroup
20.225.21.250/32,,ActionGroup
20.225.22.84/32,,ActionGroup
20.228.34.17/32,,ActionGroup
20.228.34.19/32,,ActionGroup
20.240.1.100/31,,ActionGroup
20.244.66.175/32,,ActionGroup
20.244.67.158/32,,ActionGroup
20.252.215.0/30,,ActionGroup
23.97.93.60/30,,ActionGroup
23.100.222.168/30,,ActionGroup
40.64.15.124/30,,ActionGroup
40.65.72.174/32,,ActionGroup
40.65.72.253/32,,ActionGroup
40.69.111.196/30,,ActionGroup
40.74.102.24/30,,ActionGroup
40.83.170.64/32,,ActionGroup
40.83.173.147/32,,ActionGroup
40.121.67.30/32,,ActionGroup
48.216.8.24/30,,ActionGroup
48.219.232.24/30,,ActionGroup
51.4.160.24/30,,ActionGroup
51.12.101.172/30,,ActionGroup
51.12.204.244/30,,ActionGroup
51.53.40.144/30,,ActionGroup
51.53.106.88/30,,ActionGroup
51.53.139.92/30,,ActionGroup
51.53.186.88/30,,ActionGroup
51.104.9.100/30,,ActionGroup
51.107.193.28/30,,ActionGroup
51.138.160.220/30,,ActionGroup
51.140.215.184/30,,ActionGroup
52.147.98.52/30,,ActionGroup
52.160.97.65/32,,ActionGroup
52.172.33.114/32,,ActionGroup
52.172.87.0/30,,ActionGroup
52.183.31.0/32,,ActionGroup
52.184.145.166/32,,ActionGroup
52.240.244.140/30,,ActionGroup
68.154.136.24/30,,ActionGroup
68.210.152.24/30,,ActionGroup
68.211.152.24/30,,ActionGroup
68.218.131.40/30,,ActionGroup
68.221.44.44/30,,ActionGroup
68.221.98.88/30,,ActionGroup
70.153.176.24/30,,ActionGroup
74.7.80.24/30,,ActionGroup
74.249.127.180/30,,ActionGroup
98.66.132.188/30,,ActionGroup
98.67.183.188/30,,ActionGroup
104.47.217.71/32,,ActionGroup
104.47.217.87/32,,ActionGroup
104.47.217.151/32,,ActionGroup
104.47.240.167/32,,ActionGroup
104.47.240.215/32,,ActionGroup
104.211.231.103/32,,ActionGroup
104.214.165.80/30,,ActionGroup
108.140.5.168/30,,ActionGroup
158.23.10.88/30,,ActionGroup
158.23.119.232/30,,ActionGroup
168.61.142.52/30,,ActionGroup
168.61.239.12/30,,ActionGroup
172.160.216.24/30,,ActionGroup
172.164.208.220/30,,ActionGroup
172.182.164.108/30,,ActionGroup
172.183.4.112/30,,ActionGroup
172.187.32.16/30,,ActionGroup
172.187.67.44/30,,ActionGroup
172.191.219.248/30,,ActionGroup
172.201.232.60/30,,ActionGroup
172.202.80.168/30,,ActionGroup
172.204.177.28/30,,ActionGroup
172.209.8.40/30,,ActionGroup
172.215.202.24/30,,ActionGroup
191.233.50.4/30,,ActionGroup
191.233.207.64/26,,ActionGroup
2603:1000:4::10c/126,,ActionGroup
2603:1000:4:402::178/125,,ActionGroup
2603:1000:104:3::1ec/126,,ActionGroup
2603:1000:104:402::178/125,,ActionGroup
2603:1010:6:1::10c/126,,ActionGroup
2603:1010:6:402::178/125,,ActionGroup
2603:1010:101::10c/126,,ActionGroup
2603:1010:101:402::178/125,,ActionGroup
2603:1010:304::10c/126,,ActionGroup
2603:1010:304:402::178/125,,ActionGroup
